Id,Long,Lat
0,-79.85471299960,43.21504100030
1,-79.85576499990,43.21530800010
2,-79.85574775400,43.21530362310
3,-79.85573050810,43.21529924600
4,-79.85571326220,43.21529486900
5,-79.85569601630,43.21529049190
6,-79.85567877040,43.21528611490
7,-79.85566152450,43.21528173780
8,-79.85564427860,43.21527736080
9,-79.85562703270,43.21527298370
10,-79.85560978680,43.21526860670
11,-79.85559254080,43.21526422960
12,-79.85557529490,43.21525985260
13,-79.85555804900,43.21525547560
14,-79.85554080310,43.21525109850
15,-79.85552355720,43.21524672150
16,-79.85550631130,43.21524234440
17,-79.85548906540,43.21523796740
18,-79.85547181950,43.21523359030
19,-79.85545457360,43.21522921330
20,-79.85543732770,43.21522483620
21,-79.85542008180,43.21522045920
22,-79.85540283590,43.21521608210
23,-79.85538559000,43.21521170510
24,-79.85536834410,43.21520732810
25,-79.85535109810,43.21520295100
26,-79.85533385220,43.21519857400
27,-79.85531660630,43.21519419690
28,-79.85529936040,43.21518981990
29,-79.85528211450,43.21518544280
30,-79.85526486860,43.21518106580
31,-79.85524762270,43.21517668870
32,-79.85523037680,43.21517231170
33,-79.85521313090,43.21516793460
34,-79.85519588500,43.21516355760
35,-79.85517863910,43.21515918050
36,-79.85516139320,43.21515480350
37,-79.85514414730,43.21515042650
38,-79.85512690140,43.21514604940
39,-79.85510965540,43.21514167240
40,-79.85509240950,43.21513729530
41,-79.85507516360,43.21513291830
42,-79.85505791770,43.21512854120
43,-79.85504067180,43.21512416420
44,-79.85502342590,43.21511978710
45,-79.85500618000,43.21511541010
46,-79.85498893410,43.21511103300
47,-79.85497168820,43.21510665600
48,-79.85495444230,43.21510227890
49,-79.85493719640,43.21509790190
50,-79.85491995050,43.21509352490
51,-79.85490270460,43.21508914780
52,-79.85488545870,43.21508477080
53,-79.85486821280,43.21508039370
54,-79.85485096680,43.21507601670
55,-79.85483372090,43.21507163960
56,-79.85481647500,43.21506726260
57,-79.85479922910,43.21506288550
58,-79.85478198320,43.21505850850
59,-79.85476473730,43.21505413140
60,-79.85474749140,43.21504975440
61,-79.85473024550,43.21504537740
62,-79.85471299960,43.21504100030
63,-79.85668799990,43.21554400010
64,-79.85667286870,43.21554013120
65,-79.85665773760,43.21553626240
66,-79.85664260640,43.21553239350
67,-79.85662747530,43.21552852470
68,-79.85661234410,43.21552465580
69,-79.85659721300,43.21552078700
70,-79.85658208180,43.21551691810
71,-79.85656695070,43.21551304930
72,-79.85655181950,43.21550918040
73,-79.85653668840,43.21550531150
74,-79.85652155720,43.21550144270
75,-79.85650642610,43.21549757380
76,-79.85649129500,43.21549370500
77,-79.85647616380,43.21548983610
78,-79.85646103270,43.21548596730
79,-79.85644590150,43.21548209840
80,-79.85643077040,43.21547822960
81,-79.85641563920,43.21547436070
82,-79.85640050810,43.21547049190
83,-79.85638537690,43.21546662300
84,-79.85637024580,43.21546275420
85,-79.85635511460,43.21545888530
86,-79.85633998350,43.21545501650
87,-79.85632485230,43.21545114760
88,-79.85630972120,43.21544727880
89,-79.85629459000,43.21544340990
90,-79.85627945890,43.21543954110
91,-79.85626432780,43.21543567220
92,-79.85624919660,43.21543180340
